ID,Neighbourhood,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018
97,Yonge-St.Clair,58,38,51,46,61,28,32,22,46,69,29,16,28,32,23,12,25,14,21,19,3,6,4,6,3,0,0,0,0,0
27,York University Heights,78,101,111,120,138,16,13,8,19,23,43,59,61,34,52,28,22,23,31,15,4,4,3,6,2,1,0,2,0,1
38,Lansing-Westgate,216,203,223,226,197,21,25,23,36,22,43,78,72,73,52,81,53,49,43,41,8,4,7,2,6,0,0,0,0,0
31,Yorkdale-Glen Park,121,141,136,124,127,47,27,25,30,28,83,50,65,31,56,42,32,22,18,35,8,6,8,10,13,1,1,1,1,2
16,Stonegate-Queensway,109,140,124,112,128,20,17,22,14,41,48,37,34,37,41,33,22,41,35,36,10,3,4,5,4,1,0,0,0,0
118,Tam O'Shanter-Sullivan,63,58,50,57,56,10,14,15,24,46,22,23,24,17,18,22,26,21,23,11,1,3,2,4,2,0,1,0,0,1
63,The Beaches,349,392,380,435,457,25,22,29,32,22,101,96,84,110,236,71,59,63,96,78,19,32,19,26,30,0,0,0,0,0
3,Thistletown-Beaumond Heights,45,47,39,21,30,9,19,17,14,25,23,27,26,23,25,5,6,11,6,8,7,3,10,7,7,0,1,0,0,2
55,Thorncliffe Park,111,124,157,147,135,73,46,68,87,114,69,51,44,43,60,29,38,34,36,42,15,16,18,18,15,3,1,1,4,0
59,Danforth East York,214,203,214,203,227,87,99,130,94,156,109,141,100,92,115,34,36,37,67,33,34,42,36,32,54,0,0,0,0,0
106,Humewood-Cedarvale,197,198,171,222,222,64,57,22,43,74,77,79,80,74,89,31,41,37,51,36,13,10,15,16,21,0,1,0,1,0
14,Islington-City Centre West,249,253,297,265,238,51,51,56,38,62,29,28,28,28,31,58,45,49,60,40,10,5,8,19,8,1,0,0,0,2
66,Danforth,17,30,14,18,19,5,5,1,7,16,12,12,7,9,6,1,1,5,2,1,0,2,1,0,2,1,3,1,1,2
28,Rustic,77,105,91,99,109,15,10,8,14,13,32,22,15,32,34,24,23,30,31,20,2,4,2,2,4,1,1,1,0,0
139,Scarborough Village,269,296,346,342,340,118,105,106,87,77,98,134,93,98,96,60,84,66,75,85,28,45,35,36,22,1,0,6,1,0
85,South Parkdale,87,107,98,105,105,9,15,10,13,12,26,45,43,26,22,21,16,19,27,20,3,5,5,1,1,0,0,1,0,0
70,South Riverdale,15,26,16,20,17,14,27,22,15,22,70,41,35,49,35,3,6,2,8,8,5,3,1,4,4,1,0,3,3,2
40,St.Andrew-Windfields,59,69,114,96,86,26,20,22,28,31,34,39,44,39,42,27,12,35,21,10,4,2,3,8,2,1,0,0,2,0
61,Taylor-Massey,54,45,42,49,60,17,14,10,25,17,18,18,8,11,16,26,17,12,18,16,1,2,0,4,3,0,1,1,1,0
21,Humber Summit,33,42,38,50,35,8,4,9,7,9,23,9,9,8,6,8,6,8,2,7,3,1,1,1,1,0,1,0,2,1
22,Humbermede,32,43,49,40,52,3,3,5,8,14,31,25,30,33,27,9,5,2,10,8,4,5,7,9,3,0,0,1,1,0
133,Centennial Scarborough,351,389,369,406,385,46,33,34,47,60,121,149,80,85,98,83,81,68,125,72,11,13,14,25,13,0,0,0,1,0
75,Church-Yonge Corridor,36,44,54,45,53,12,21,22,11,18,18,16,20,12,12,16,6,14,4,9,1,5,2,3,5,1,3,2,1,3
120,Clairlea-Birchmount,153,132,159,157,133,12,15,19,11,16,64,46,50,71,59,25,15,15,18,11,10,7,3,7,9,0,2,1,0,3
123,Cliffcrest,645,745,793,820,787,52,41,36,58,58,148,175,194,243,314,66,44,62,58,93,43,41,56,52,50,0,1,0,0,1
44,Flemingdon Park,36,39,45,52,52,12,14,3,17,24,44,38,20,50,50,12,8,11,8,17,4,4,4,3,1,1,0,0,0,0
92,Corso Italia-Davenport,93,98,106,90,100,15,9,21,8,26,21,29,23,36,15,25,12,20,20,11,1,2,2,4,1,0,1,0,0,0
125,Ionview,265,285,267,274,284,296,259,311,323,495,143,118,126,117,154,76,64,74,93,69,40,57,40,58,50,0,0,0,0,0
90,Junction Area,164,186,184,167,201,20,9,18,14,9,75,84,62,61,75,32,30,25,37,33,7,3,12,12,10,1,0,0,0,0
57,Broadview North,26,28,34,28,26,11,3,18,18,19,23,30,20,23,24,3,7,4,6,1,3,3,3,4,6,0,0,0,1,0
10,Princess-Rosethorn,75,40,46,59,50,42,40,29,52,57,95,66,114,131,107,16,8,20,18,13,10,12,11,14,10,0,0,1,0,1
68,North Riverdale,38,57,55,63,49,16,20,23,24,22,41,32,39,40,48,10,5,4,13,21,5,5,4,6,3,0,0,1,3,0
13,Etobicoke West Mall,141,130,198,161,197,12,18,16,11,24,72,80,75,82,68,16,26,24,12,20,3,5,6,6,8,1,0,1,0,0
102,Forest Hill North,57,63,78,88,72,14,10,29,30,54,16,14,17,15,28,12,15,16,32,25,1,2,1,1,4,0,0,0,0,0
25,Glenfield-Jane Heights,240,261,229,237,252,37,28,35,38,41,134,112,84,102,64,46,51,42,49,33,3,13,18,4,10,0,0,1,2,0
65,Greenwood-Coxwell,27,32,31,25,37,19,15,9,22,10,27,27,25,33,19,17,21,12,13,16,2,3,2,6,4,2,0,0,0,0
140,Guildwood,106,136,174,161,176,63,53,41,52,59,51,57,66,58,65,23,21,24,34,44,24,14,26,23,20,0,0,0,0,0
81,Trinity-Bellwoods,101,103,111,103,96,28,16,20,16,18,18,25,34,20,22,31,13,39,36,11,2,1,0,5,1,0,0,0,0,0
43,Victoria Village,139,148,158,132,145,8,8,4,12,8,50,20,14,13,14,26,22,24,20,16,9,3,3,4,1,0,0,2,1,0
77,Waterfront Communities-The Island,71,97,94,90,70,39,39,34,59,87,101,111,62,106,120,41,39,37,31,17,13,13,10,16,17,1,1,0,1,1
136,West Hill,51,63,62,55,67,5,16,19,14,21,33,31,32,41,31,10,12,10,17,17,3,1,5,5,2,0,2,0,0,1
1,West Humber-Clairville,72,81,82,69,88,16,29,17,31,40,52,57,56,58,71,35,38,18,24,47,1,6,4,12,4,0,3,2,0,0
35,Westminster-Branson,55,64,64,69,86,8,7,5,6,13,24,24,17,17,38,24,24,18,5,12,6,5,4,2,5,0,0,0,0,0
124,Kennedy Park,343,394,423,400,411,23,17,15,31,26,89,66,72,86,103,65,64,78,65,51,7,6,8,9,5,0,0,0,0,2
6,Kingsview Village-The Westway,64,61,100,83,109,39,25,27,30,53,44,44,43,47,62,10,10,16,17,16,5,7,7,11,21,2,1,2,2,2
49,Bayview Woods-Steeles,46,46,58,58,56,12,10,8,13,9,34,23,12,25,21,1,3,1,11,7,2,3,1,9,3,0,0,0,0,0
33,Clanton Park,256,248,283,293,306,32,33,32,34,42,84,84,97,92,155,67,56,53,73,69,12,8,11,10,20,0,0,1,0,0
110,Keelesdale-Eglinton West,143,178,162,160,151,6,17,20,15,11,33,47,61,51,70,17,22,28,26,24,4,2,9,9,6,0,0,0,0,0
54,O'Connor-Parkview,29,40,38,42,46,29,28,21,30,16,19,27,26,33,31,13,10,13,5,6,1,4,4,7,3,1,0,0,1,0
58,Old East York,102,115,108,96,91,8,16,8,10,5,35,48,17,33,20,27,19,11,13,7,4,5,4,1,1,0,0,1,0,2
96,Casa Loma,149,151,169,154,127,33,32,31,41,18,70,60,47,67,77,11,19,32,38,21,6,6,2,10,6,0,0,0,0,1
78,Kensington-Chinatown,203,200,241,343,448,34,33,34,40,21,60,66,48,58,48,9,24,12,22,28,10,15,17,14,12,0,1,3,0,3
15,Kingsway South,63,39,61,47,51,2,6,2,6,6,15,27,15,13,13,11,10,9,15,11,1,0,1,1,0,0,0,0,0,0
89,Runnymede-Bloor West Village,28,42,38,45,36,9,7,4,6,10,35,42,27,25,24,22,27,31,23,17,2,3,6,2,3,0,0,0,0,0
101,Forest Hill South,119,121,127,135,133,9,12,4,10,10,41,32,28,30,35,22,15,21,17,33,8,6,3,2,7,0,0,0,0,0
53,Henry Farm,69,56,47,57,73,21,11,24,19,23,32,47,30,33,45,20,7,11,24,19,4,4,2,4,5,0,0,0,1,1
95,Annex,92,82,71,80,65,14,15,19,21,26,40,44,34,39,43,27,15,15,10,12,8,1,4,5,6,0,0,0,0,2
109,Caledonia-Fairbank,159,147,191,144,173,20,15,8,21,18,48,48,34,33,44,31,33,24,23,11,3,2,2,5,4,0,0,0,0,0
8,Humber Heights-Westmount,88,108,86,69,64,25,16,15,21,11,49,35,37,40,56,7,5,12,8,6,10,8,5,8,9,1,0,1,1,2
